dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,tm_spin,sb
2007-04-06,070406_190601sdn,,2,1,118120,430838,1,Ground Out,B,3,4.01,1.5,-10.152,3.101,FA,8,0.701217,R,0,0,R,gid_2007_04_06_colmlb_sdnmlb_1/,Ball,252.748,0.473307,1,sdn,0.12081158972427979,-122.12254425316789,0.33107873943635985,-9.268009607406865,3.216707264128304,-10.152,3.101,-2.8100001029968262,55,5.5720000839233395,10.126999977111817,-126.1980023803711,1.1479999713897704,-14.092000144958496,33.73399966430664,-27.287999542236328,86.32,0.32745443120594353,3.3046325719429985,0.463,3.349,0,00
2007-04-06,070406_190652sdn,,4,1,118120,430565,2,Ground Out,S,8,3.405,1.33,-9.36,6.295,FA,5,0.75,L,0,0,R,gid_2007_04_06_colmlb_sdnmlb_1/,Called Strike,235.853,0.764819,1,sdn,0.12001745024593187,-122.94464908097831,0.32874795624474246,-8.503142094270848,6.344447709887096,-9.36,6.295,-3.018999975204468,55,5.554999885559082,7.293999794006348,-127.0190015258789,-0.416000001847744,-13.113000053405761,33.948000366210934,-22.394999893188476,86.75,-1.0661254931476385,3.11327580281904,-0.941,3.161,0,00
2007-04-06,070406_190705sdn,,4,2,118120,430565,2,Ground Out,S,9,3.405,1.33,-10.009,5.253,FA,5,0.75,L,1,0,R,gid_2007_04_06_colmlb_sdnmlb_1/,Called Strike,242.082,0.773494,1,sdn,0.11904406327950243,-123.94352737994747,0.3261509809312336,-9.152458926699989,5.321063103081575,-10.009,5.253,-2.9769999198913575,55,5.555999813079834,7.384999874114991,-128.06399969482422,-0.15399999988079072,-14.340000289916992,34.61300128173828,-23.842000396728515,87.46,-1.1103217231929465,3.1247457622865458,-0.987,3.17,0,01
2007-04-06,070406_190722sdn,,4,3,118120,430565,2,Ground Out,S,10,3.405,1.33,-5.99,2.335,SL,22,0.341888,L,2,0,R,gid_2007_04_06_colmlb_sdnmlb_1/,Foul,248.244,-1.11373,1,sdn,0.12674117643927563,-116.54987175826359,0.34561375876413597,-5.124356358625559,2.479759049379317,-5.99,2.335,-3.018999975204468,55,5.555999813079834,7.41500008392334,-120.15299658203125,-2.461999923706055,-7.149999755859375,28.42899935913086,-28.718999298095703,82.10,-0.31415176041480886,1.1892322016213472,-0.179,1.212,0,02
2007-04-06,070406_190755sdn,,4,4,118120,430565,2,Ground Out,X,11,3.405,1.33,7.439,-4.87,CU,23,1.41092,L,2,0,R,gid_2007_04_06_colmlb_sdnmlb_1/,"In play, out(s)",57.1387,-1.02988,1,sdn,0.1408433800432424,-104.62355425505565,0.38796231257289837,8.190110028187915,-4.508217033977897,7.439,-4.87,-3.0440000705718995,55,5.706999835968017,3.5549999504089356,-108.37900213623047,1.4840000562667846,9.069000106811524,26.663999969482422,-37.170998962402344,73.94,0.10388162629488962,1.2946470564799153,0.262,1.299,0,02
2007-04-06,070406_190828sdn,,3,1,118120,425548,3,Single,S,15,3.623,1.647,-9.047,2.897,FA,10,0.461315,R,0,0,R,gid_2007_04_06_colmlb_sdnmlb_1/,Called Strike,251.963,-0.0860324,1,sdn,0.11882047524467416,-124.25573490210135,0.32469044783195644,-8.216105492257755,3.0109061716369383,-9.047,2.897,-2.93099991607666,55,5.591000137329101,6.666999938964844,-128.22600225830078,-0.8580000109672546,-12.989000457763671,33.41399996948242,-27.419000061035156,87.55,-1.2515960698670132,2.5138207885783235,-1.128,2.55,0,00
2007-04-06,070406_190846sdn,,3,2,118120,425548,3,Single,B,16,3.623,1.647,-7.645,3.384,FA,5,0.375278,R,1,0,R,gid_2007_04_06_colmlb_sdnmlb_1/,Ball,245.813,0.551619,1,sdn,0.11883812066607748,-124.30324478173166,0.32403627523583306,-6.844917847245419,3.488293874481779,-7.645,3.384,-2.834000032424927,55,5.578000125885009,4.824000003814698,-128.14100317382812,0.3860000066757202,-10.864999908447265,32.29400103759765,-26.641999633789062,87.43,-1.763092192795569,3.1362323916852275,-1.643,3.18,0,01
2007-04-06,070406_190902sdn,,3,3,118120,425548,3,Single,X,17,3.623,1.647,-10.549,2.912,FA,12,0.655555,R,1,1,R,gid_2007_04_06_colmlb_sdnmlb_1/,"In play, no out",254.313,0.354251,1,sdn,0.11939485537299441,-123.61810905611829,0.32669113284440016,-9.679080302929849,3.028274502799769,-10.549,2.912,-2.9940001182556153,55,5.524000225067138,9.345999839782715,-127.64899877929687,0.336999981880188,-15.114999908447265,33.76100009155273,-27.450000198364258,87.27,-0.32877563993709624,2.943191501128577,-0.198,2.985,0,11
2007-04-06,070406_190943sdn,,3,1,118120,115732,4,Fly Out,S,21,4.17,1.67,-10.315,3.118,FA,10,0.565112,L,0,0,R,gid_2007_04_06_colmlb_sdnmlb_1/,Called Strike,252.928,-0.2272,1,sdn,0.11980475638195259,-123.21141694390666,0.3276354396886046,-9.445928688071888,3.230009908683087,-10.315,3.118,-3.1040000133514405,55,5.513999996185302,7.856000068664551,-127.1960034790039,-0.43999999833106995,-14.665999549865722,33.25900119018554,-27.164000900268555,86.89,-1.057000209439417,2.5980101323390317,-0.932,2.636,0,00
2007-04-06,070406_191002sdn,,3,2,118120,115732,4,Fly Out,B,22,4.17,1.67,-9.659,4.568,FA,21,0.75,L,1,0,R,gid_2007_04_06_colmlb_sdnmlb_1/,Ball,244.437,-1.0808,1,sdn,0.12048431979801243,-122.54405563917838,0.32919043562866473,-8.794579029327426,4.652817199945223,-9.659,4.568,-2.9880000762939454,55,5.475999889373779,7.692999961853028,-126.45100073242187,-3.131000072479248,-13.526000160217285,32.42700045776367,-25.02300015258789,86.40,-0.8961855648333057,1.5381933334367566,-0.77,1.569,0,01
