dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,tm_spin,sb
2007-05-03,070503_171953tex,,4,1,121250,408042,73,Strikeout,B,598,3.933,1.871,-0.681,7.395,FA,19,0.800523,R,0,0,R,gid_2007_05_03_nyamlb_texmlb_1/,Ball,185.189,-0.787585,9,nya,0.11043618524259353,-134.48009942267012,0.29477641347485306,-0.6198956304631588,7.425713273276931,-0.681,7.395,-2.6590000019073488,55,6.298999763488769,9.939999771118163,-137.16999365234375,-6.957999938964844,-1.1890000247955321,24.357000595092774,-17.93600032043457,93.89,1.271173103165885,2.007046810854677,1.202,2.09,0,00
2007-05-03,070503_172012tex,,4,2,121250,408042,73,Strikeout,S,599,3.933,1.871,0.304,10.309,FA,13,1.16119,R,0,1,R,gid_2007_05_03_nyamlb_texmlb_1/,Called Strike,178.364,-0.0678952,9,nya,0.10935086667884687,-135.52624529398398,0.294318843733577,0.3591413546804852,10.32362500295711,0.304,10.309,-2.6669998989105226,55,6.40700004196167,7.713000011444092,-138.8200028076172,-6.583999866485596,0.6909999704360962,30.121000534057618,-12.316000434875487,94.90,0.5027825080672526,2.745827708114139,0.433,2.832,0,10
2007-05-03,070503_172031tex,,4,3,121250,408042,73,Strikeout,S,600,3.933,1.871,-6.893,4.576,FA,15,1.30309,R,1,1,R,gid_2007_05_03_nyamlb_texmlb_1/,Foul,236.18,-0.930165,9,nya,0.108811797884126,-136.2973973630841,0.2920251215554697,-6.800632958678843,4.620398600108702,-6.893,4.576,-2.8560000286102296,55,6.332000232696533,7.463000011444092,-139.40800024414062,-6.509999984741211,-13.291000022888184,28.587000137329103,-23.14899966430664,95.29,-0.9322937127238664,1.8629154072224996,-1.008,1.943,0,11
2007-05-03,070503_172057tex,,4,4,121250,408042,73,Strikeout,S,601,3.933,1.871,1.189,7.664,FA,0,1.14803,R,2,1,R,gid_2007_05_03_nyamlb_texmlb_1/,Swinging Strike,171.266,0.950533,9,nya,0.10950747251722609,-135.42090728742934,0.2939826780611328,1.239864689569495,7.692242866371191,1.189,7.664,-2.6880000457763673,55,6.375999904632568,4.111999940872193,-138.53300024414062,-2.8979999961853027,2.3909998989105223,28.419000869750978,-17.345000717163085,94.52,-0.8342293539659917,3.794791047283585,-0.907,3.882,0,12
2007-05-03,070503_172219tex,,3,1,121250,117863,74,Ground Out,S,607,3.669,1.893,1.1,10.032,FA,7,1.14765,L,0,0,R,gid_2007_05_03_nyamlb_texmlb_1/,Swinging Strike,173.809,0.122748,9,nya,0.10821741826398523,-137.20670194070362,0.28910430677447546,1.1494100010722088,10.047308322243918,1.1,10.032,-2.7329998836517335,55,6.453000045776367,6.363000106811524,-140.0129959716797,-6.768999809265137,2.291999921798706,25.931999450683595,-12.143999549865722,95.67,-0.023947625200533812,2.805005628303959,-0.093,2.89,0,00
2007-05-03,070503_172236tex,,3,2,121250,117863,74,Ground Out,B,608,3.669,1.893,3.602,6.313,FC,9,0.876777,L,1,0,R,gid_2007_05_03_nyamlb_texmlb_1/,Ball,150.468,0.577703,9,nya,0.10957392532955117,-135.7697630662842,0.2905614499362043,3.639602874691217,6.347649833816384,3.602,6.313,-2.590999923706055,55,6.444000221252441,8.538000297546386,-138.0180008544922,-4.154000038146973,7.184999809265137,20.517999893188478,-19.648000213623046,94.33,1.4005158411128413,3.208964574159002,1.335,3.294,0,01
2007-05-03,070503_172255tex,,3,3,121250,117863,74,Ground Out,X,609,3.669,1.893,2.276,5.869,FC,13,0.969686,L,1,1,R,gid_2007_05_03_nyamlb_texmlb_1/,"In play, out(s)",158.97,-0.234234,9,nya,0.11043103649938552,-134.34376277755854,0.2959830233404868,2.321732973919179,5.908144970352037,2.276,5.869,-2.89200004196167,55,6.302999950408935,7.80699987411499,-137.31899572753906,-5.129999870300293,4.4170001602172855,26.94199967956543,-20.939000579833984,93.84,0.6456323760177689,2.488859490631625,0.577,2.573,0,11
2007-05-03,070503_172338tex,,4,1,121250,276545,75,Ground Out,S,613,3.751,2.157,2.176,4.888,FC,13,0.534059,R,0,0,R,gid_2007_05_03_nyamlb_texmlb_1/,Foul,156.198,-0.126725,9,nya,0.10804366067373133,-137.32053048118672,0.2895161739257153,2.2198786328416236,4.9285937589611795,2.176,4.888,-2.6150000915527345,55,6.308000064849853,7.4950000762939455,-140.34499670410156,-4.45000004196167,4.413999900817871,27.993000274658204,-22.378999206542968,95.87,0.7135118151884499,2.770350035320087,0.646,2.853,0,00
2007-05-03,070503_172404tex,,4,2,121250,276545,75,Ground Out,B,614,3.751,2.157,0.728,9.28,FA,2,0.967185,R,1,0,R,gid_2007_05_03_nyamlb_texmlb_1/,Ball,175.575,1.04141,9,nya,0.11097944131633006,-133.60734429000829,0.2980869366254382,0.7831751959414479,9.301605217629247,0.728,9.28,-2.6640001163482667,55,6.504000164031982,6.719000053405762,-136.71299291992187,-3.8529999198913574,1.4689999675750733,27.983999496459962,-14.731999847412109,93.36,0.20740519676295013,3.6953019131422318,0.136,3.784,0,01
2007-05-03,070503_172425tex,,4,3,121250,276545,75,Ground Out,S,615,3.751,2.157,0.986,10.302,FA,9,1.34801,R,1,1,R,gid_2007_05_03_nyamlb_texmlb_1/,Foul,174.599,0.306148,9,nya,0.11056661337288158,-134.55064296272835,0.29319507623620855,1.037233825835268,10.31766560930293,0.986,10.302,-2.584999881744385,55,6.511000133514404,8.021000099182128,-136.77900244140625,-5.963000053405762,2.0110000228881835,20.153999572753907,-12.174999687194823,93.51,0.8174699159548012,3.1109918028285395,0.748,3.198,0,11
